<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.11.18	00:00:00	1.34917	1.34918	1.34834	1.34851	524	0	1
2013.11.18	00:30:00	1.34852	1.34852	1.34799	1.34821	353	0	2
2013.11.18	01:00:00	1.34820	1.34841	1.34785	1.34813	471	0	2
2013.11.18	01:30:00	1.34813	1.34859	1.34789	1.34792	415	0	1
2013.11.18	02:00:00	1.34792	1.34797	1.34743	1.34773	509	0	2
2013.11.18	02:30:00	1.34775	1.34860	1.34761	1.34855	435	0	2
2013.11.18	03:00:00	1.34856	1.34897	1.34840	1.34895	319	0	2
2013.11.18	03:30:00	1.34895	1.34896	1.34845	1.34885	225	0	3
2013.11.18	04:00:00	1.34887	1.34939	1.34884	1.34937	316	0	3
2013.11.18	04:30:00	1.34935	1.34964	1.34921	1.34924	355	0	2
2013.11.18	05:00:00	1.34924	1.34930	1.34881	1.34895	272	0	1
2013.11.18	05:30:00	1.34895	1.34943	1.34892	1.34894	311	0	3
2013.11.18	06:00:00	1.34894	1.34928	1.34866	1.34887	402	0	2
2013.11.18	06:30:00	1.34889	1.34964	1.34885	1.34950	542	0	1
2013.11.18	07:00:00	1.34951	1.35073	1.34940	1.35044	568	0	2
2013.11.18	07:30:00	1.35042	1.35042	1.34903	1.34917	566	0	1
2013.11.18	08:00:00	1.34915	1.34956	1.34892	1.34947	713	0	1
2013.11.18	08:30:00	1.34945	1.35061	1.34915	1.35034	959	0	2
2013.11.18	09:00:00	1.35034	1.35059	1.34934	1.34973	1063	0	1
2013.11.18	09:30:00	1.34976	1.35037	1.34944	1.35037	854	0	2
2013.11.18	10:00:00	1.35041	1.35176	1.35021	1.35134	1093	0	1
2013.11.18	10:30:00	1.35133	1.35166	1.35014	1.35055	1081	0	1
2013.11.18	11:00:00	1.35056	1.35117	1.35051	1.35096	699	0	2
2013.11.18	11:30:00	1.35100	1.35136	1.35076	1.35088	713	0	1
