<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.11.15	23:00:00	1.07285	1.07325	1.07248	1.07273	2147	2488973000	7
2016.11.15	23:30:00	1.07272	1.07299	1.07195	1.07215	1472	1326890000	7
2016.11.16	00:00:00	1.07205	1.07231	1.07197	1.07223	486	331498000	0
2016.11.16	00:30:00	1.07222	1.07290	1.07176	1.07234	1237	720331000	7
2016.11.16	01:00:00	1.07234	1.07274	1.07181	1.07259	1241	1144522000	7
2016.11.16	01:30:00	1.07259	1.07269	1.07196	1.07240	1381	1532100000	7
2016.11.16	02:00:00	1.07239	1.07321	1.07201	1.07316	1532	1721734000	7
2016.11.16	02:30:00	1.07315	1.07413	1.07296	1.07376	1781	1554390000	7
2016.11.16	03:00:00	1.07380	1.07469	1.07367	1.07427	1974	1629633000	7
2016.11.16	03:30:00	1.07427	1.07500	1.07382	1.07387	1972	1941107000	7
2016.11.16	04:00:00	1.07386	1.07483	1.07368	1.07453	1262	1383235000	7
2016.11.16	04:30:00	1.07454	1.07592	1.07454	1.07564	1598	1590860000	7
2016.11.16	05:00:00	1.07563	1.07592	1.07517	1.07522	1243	1221654000	7
2016.11.16	05:30:00	1.07523	1.07538	1.07469	1.07478	1401	1194044000	7
2016.11.16	06:00:00	1.07479	1.07487	1.07366	1.07446	1943	1643342000	7
2016.11.16	06:30:00	1.07447	1.07471	1.07405	1.07407	1150	917293000	7
2016.11.16	07:00:00	1.07407	1.07471	1.07401	1.07460	1351	1228783000	7
2016.11.16	07:30:00	1.07460	1.07480	1.07416	1.07464	1116	982937000	7
2016.11.16	08:00:00	1.07463	1.07523	1.07455	1.07480	1466	1383657000	7
2016.11.16	08:30:00	1.07480	1.07545	1.07451	1.07510	1475	1560122000	7
2016.11.16	09:00:00	1.07507	1.07564	1.07238	1.07247	3252	3074800000	7
2016.11.16	09:30:00	1.07247	1.07308	1.06998	1.07053	5485	4395359000	7
2016.11.16	10:00:00	1.07051	1.07191	1.07031	1.07099	5266	4298083000	7
2016.11.16	10:30:00	1.07098	1.07247	1.07089	1.07150	4075	3298336000	7
2016.11.16	11:00:00	1.07150	1.07294	1.07143	1.07218	4002	2835926000	7
2016.11.16	11:30:00	1.07218	1.07293	1.07135	1.07144	3391	2812938000	7
2016.11.16	12:00:00	1.07143	1.07144	1.07050	1.07082	3346	2825831000	7
2016.11.16	12:30:00	1.07081	1.07115	1.06966	1.07103	3799	3118289000	7
2016.11.16	13:00:00	1.07103	1.07106	1.06944	1.07005	3538	3131900000	7
2016.11.16	13:30:00	1.07004	1.07078	1.06947	1.06952	2958	2530906000	7
2016.11.16	14:00:00	1.06954	1.07008	1.06872	1.06952	4004	4018795000	7
2016.11.16	14:30:00	1.06954	1.07115	1.06933	1.06988	4633	3738541000	7
2016.11.16	15:00:00	1.06987	1.07147	1.06938	1.07126	4896	4067841000	7
2016.11.16	15:30:00	1.07125	1.07221	1.07069	1.07119	7238	5837527000	7
2016.11.16	16:00:00	1.07118	1.07150	1.07003	1.07085	5834	5395934000	7
2016.11.16	16:30:00	1.07085	1.07182	1.06950	1.07002	6616	6038714000	7
2016.11.16	17:00:00	1.07001	1.07139	1.06926	1.06995	6487	5605694000	7
2016.11.16	17:30:00	1.06993	1.07034	1.06694	1.06715	7066	7008786000	7
