<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.11.15	23:00:00	1.35389	1.35389	1.35279	1.35323	889	0	18
2011.11.15	23:30:00	1.35322	1.35366	1.35229	1.35252	1154	0	14
2011.11.16	00:00:00	1.35249	1.35320	1.35240	1.35257	1281	0	12
2011.11.16	00:30:00	1.35256	1.35267	1.35030	1.35033	1443	0	13
2011.11.16	01:00:00	1.35035	1.35152	1.34915	1.35002	1850	0	13
2011.11.16	01:30:00	1.35003	1.35157	1.34931	1.35156	1607	0	13
2011.11.16	02:00:00	1.35154	1.35183	1.35048	1.35161	1386	0	13
2011.11.16	02:30:00	1.35161	1.35161	1.34937	1.34947	1598	0	13
2011.11.16	03:00:00	1.34948	1.34948	1.34460	1.34556	2506	0	13
2011.11.16	03:30:00	1.34555	1.34591	1.34368	1.34550	2344	0	13
2011.11.16	04:00:00	1.34548	1.34616	1.34487	1.34510	1467	0	12
2011.11.16	04:30:00	1.34511	1.34638	1.34414	1.34615	1486	0	13
2011.11.16	05:00:00	1.34614	1.34615	1.34528	1.34547	1369	0	12
2011.11.16	05:30:00	1.34545	1.34618	1.34486	1.34616	1473	0	13
2011.11.16	06:00:00	1.34618	1.34642	1.34416	1.34436	2111	0	7
2011.11.16	06:30:00	1.34434	1.34514	1.34345	1.34433	2217	0	8
2011.11.16	07:00:00	1.34432	1.34500	1.34323	1.34483	1935	0	8
2011.11.16	07:30:00	1.34482	1.34573	1.34286	1.34336	2164	0	7
2011.11.16	08:00:00	1.34335	1.34517	1.34316	1.34431	2703	0	9
2011.11.16	08:30:00	1.34432	1.34702	1.34320	1.34595	2869	0	7
2011.11.16	09:00:00	1.34593	1.34971	1.34478	1.34861	3200	0	7
2011.11.16	09:30:00	1.34860	1.35373	1.34838	1.35278	3288	0	9
2011.11.16	10:00:00	1.35279	1.35447	1.35173	1.35295	3019	0	8
2011.11.16	10:30:00	1.35294	1.35432	1.35212	1.35384	2924	0	7
2011.11.16	11:00:00	1.35384	1.35560	1.35215	1.35215	2780	0	7
2011.11.16	11:30:00	1.35215	1.35240	1.34787	1.34848	3054	0	7
2011.11.16	12:00:00	1.34849	1.34849	1.34589	1.34739	2916	0	8
2011.11.16	12:30:00	1.34738	1.34777	1.34548	1.34715	2859	0	8
2011.11.16	13:00:00	1.34713	1.35194	1.34641	1.35038	2883	0	9
2011.11.16	13:30:00	1.35037	1.35160	1.34834	1.34916	2546	0	10
2011.11.16	14:00:00	1.34916	1.35038	1.34797	1.34930	2230	0	10
2011.11.16	14:30:00	1.34920	1.34971	1.34605	1.34779	2780	0	8
2011.11.16	15:00:00	1.34768	1.34917	1.34719	1.34860	2522	0	6
2011.11.16	15:30:00	1.34861	1.35159	1.34786	1.35080	3145	0	8
2011.11.16	16:00:00	1.35077	1.35179	1.34888	1.35007	3092	0	11
2011.11.16	16:30:00	1.35007	1.35377	1.34951	1.35298	3198	0	9
2011.11.16	17:00:00	1.35296	1.35401	1.35034	1.35034	2648	0	6
