<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.11.16	00:00:00	1.07366	1.07449	1.07300	1.07428	1577	1393367000	7
2015.11.16	00:30:00	1.07428	1.07437	1.07332	1.07363	1342	1081471000	7
2015.11.16	01:00:00	1.07365	1.07366	1.06865	1.07044	4997	4528552000	7
2015.11.16	01:30:00	1.07044	1.07078	1.06942	1.06999	2615	2547921000	7
2015.11.16	02:00:00	1.07001	1.07243	1.06999	1.07204	3828	4121568000	7
2015.11.16	02:30:00	1.07205	1.07234	1.07099	1.07217	3159	3635053000	7
2015.11.16	03:00:00	1.07219	1.07263	1.07174	1.07214	2799	3336884000	7
2015.11.16	03:30:00	1.07214	1.07235	1.07111	1.07113	1966	2501847000	7
2015.11.16	04:00:00	1.07112	1.07234	1.07108	1.07185	1821	2211150000	7
2015.11.16	04:30:00	1.07185	1.07207	1.07152	1.07173	1482	2330493000	7
2015.11.16	05:00:00	1.07173	1.07221	1.07158	1.07208	1134	1635350000	7
2015.11.16	05:30:00	1.07207	1.07277	1.07184	1.07243	1415	1724540000	7
2015.11.16	06:00:00	1.07243	1.07246	1.07201	1.07201	1073	1278990000	7
2015.11.16	06:30:00	1.07200	1.07202	1.07185	1.07192	732	846780000	7
2015.11.16	07:00:00	1.07194	1.07232	1.07171	1.07228	918	1123100000	7
2015.11.16	07:30:00	1.07228	1.07261	1.07203	1.07253	1106	1586065000	7
2015.11.16	08:00:00	1.07253	1.07306	1.07217	1.07281	1596	2159223000	7
2015.11.16	08:30:00	1.07281	1.07321	1.07255	1.07266	2007	2895324000	7
2015.11.16	09:00:00	1.07266	1.07487	1.07265	1.07438	4922	6531872000	7
2015.11.16	09:30:00	1.07437	1.07578	1.07410	1.07506	4716	6505439000	7
2015.11.16	10:00:00	1.07507	1.07572	1.07353	1.07429	5610	8429799000	7
2015.11.16	10:30:00	1.07429	1.07429	1.07295	1.07385	4468	6791573000	7
